Column1,DateTime,Default GPS,VaneSize,Depth,ShearStrenght,Result,TSF,Comments,Attachments,MachineID,Operator,Instrument,CorrectionFactor,Created,Title,Manual GPS,Modified
Amrun,29/06/2024 14:49,"12.97324° S, 141.63630° E",20x40,80,8,8,South Cell,Front left ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:49,VS,,29/06/2024 14:49
Amrun,29/06/2024 14:49,"12.97324° S, 141.63630° E",20x40,20,24,24,South Cell,Back left ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:49,VS,,29/06/2024 14:49
Amrun,29/06/2024 14:48,"12.97324° S, 141.63630° E",20x40,20,16,16,South Cell,Front left ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:48,VS,,29/06/2024 14:48
Amrun,29/06/2024 14:48,"12.97324° S, 141.63630° E",20x40,50,8,8,South Cell,Front left ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:49,VS,,29/06/2024 14:49
Amrun,29/06/2024 14:47,"12.97324° S, 141.63630° E",20x40,20,12,12,South Cell,Front right ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:47,VS,,29/06/2024 14:47
Amrun,29/06/2024 14:47,"12.97324° S, 141.63630° E",20x40,50,4,4,South Cell,Front right ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:47,VS,,29/06/2024 14:47
Amrun,29/06/2024 14:47,"12.97324° S, 141.63630° E",20x40,80,10,10,South Cell,Front right ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:48,VS,,29/06/2024 14:48
Amrun,29/06/2024 14:46,"12.97324° S, 141.63630° E",20x40,50,18,18,South Cell,Back right ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:46,VS,,29/06/2024 14:46
Amrun,29/06/2024 14:46,"12.97324° S, 141.63630° E",20x40,80,16,16,South Cell,Back right ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:47,VS,,29/06/2024 14:47
Amrun,29/06/2024 14:44,"12.97324° S, 141.63630° E",20x40,20,10,10,South Cell,Back right ,0,MM43,Joe Johanson,H-60,1,29/06/2024 14:46,VS,,29/06/2024 14:46
Amrun,28/06/2024 14:51,"12.97186° S, 141.63793° E",20x40,50,48,48,South Cell,Back left,0,MM43,Joe Johanson,H-60,1,28/06/2024 14:51,VS,,28/06/2024 14:51
