UTC adjusted datetime Column,GPS_Latitude,GPS_Longitude,Mud Condition,Predicted Mud Condition
2025-01-16 14:47:02,-33.215935,116.069366,Good Run (50%),1.6066926601138094
2025-01-16 14:45:22,-33.215954,116.069328,Unknown,0.7627659640921751
2025-01-16 14:43:42,-33.216587,116.06868,Unknown,0.5794357249085826
2025-01-16 14:40:22,-33.216511,116.068695,Unknown,1.5568103479642947
2025-01-16 14:38:42,-33.215832,116.069366,Unknown,0.7347108617298632
2025-01-16 14:37:02,-33.216103,116.069107,Water/Loose (10%),0.005808875160192795
2025-01-16 14:35:22,-33.216717,116.068474,Good Run (50%),2.3766011316398363
2025-01-16 14:34:24,-33.217087,116.0681,Good Run (50%),1.4292560470439255
2025-01-16 14:30:36,-33.217045,116.068047,Unknown,0.4025502166417614
2025-01-16 14:28:56,-33.216419,116.06871,Unknown,0.9303638016597942
2025-01-16 14:27:16,-33.21579,116.069344,Unknown,0.6783729429233947
2025-01-16 14:25:36,-33.215923,116.069206,Water/Loose (10%),0.3665641516677778
2025-01-16 14:24:29,-33.216351,116.068764,Water/Loose (10%),0.5360434275741031
2025-01-16 14:18:08,-33.216244,116.068787,Unknown,0.02663294087968704
2025-01-16 14:16:28,-33.215626,116.069405,Water/Loose (10%),-0.005521097047121781
2025-01-16 14:14:48,-33.215954,116.069099,Water/Loose (10%),0.35382191916666916
2025-01-16 14:13:08,-33.216568,116.068459,Unknown,0.7924662876406943
2025-01-16 14:12:09,-33.216923,116.068085,Unknown,0.9341856929267405
2025-01-16 14:11:44,-33.217091,116.067917,Unknown,0.9770688142341455
2025-01-16 14:11:19,-33.217255,116.067741,Unknown,1.0264707204374672
2025-01-16 14:10:54,-33.217407,116.067581,Good Run (50%),1.130087688131066
2025-01-16 14:10:29,-33.217525,116.06739,Unknown,-1.1125021798264236
2025-01-16 14:10:04,-33.217415,116.067513,Unknown,0.26522405163840035
2025-01-16 14:09:39,-33.217285,116.06765,Unknown,0.6203862865171743
2025-01-16 14:09:14,-33.217152,116.067787,Unknown,1.1252262011327243
2025-01-16 14:08:49,-33.216953,116.067978,Unknown,1.2105790937996717
2025-01-16 14:08:24,-33.216766,116.068169,Unknown,0.6203862865171743
2025-01-16 14:07:34,-33.21674,116.068207,Unknown,1.6022355173266538
2025-01-16 14:07:09,-33.216534,116.068413,Unknown,1.20841726913094
2025-01-16 14:06:44,-33.216328,116.068619,Unknown,1.0441764984351318
2025-01-16 14:06:19,-33.216137,116.06881,Unknown,1.012679776418056
2025-01-16 14:05:54,-33.215942,116.069008,Unknown,1.192890855000669
2025-01-16 14:05:29,-33.215767,116.069183,Good Run (50%),0.7717188275310893
2025-01-16 14:05:04,-33.215607,116.069382,Good Run (50%),0.8924631669315051
2025-01-16 14:04:14,-33.215488,116.069481,Sticky (30%),1.1860107733144802
2025-01-16 14:03:49,-33.215622,116.069336,Water/Loose (10%),0.018029524258076357
2025-01-16 14:03:24,-33.215775,116.069168,Water/Loose (10%),0.0052639107533858365
2025-01-16 14:02:59,-33.215878,116.069077,Unknown,0.22707503924825012
2025-01-16 14:02:34,-33.215919,116.069031,Unknown,-0.1449650090108512
2025-01-16 14:02:09,-33.215977,116.068962,Unknown,-0.1932687661139476
2025-01-16 14:01:44,-33.216057,116.068893,Unknown,-0.3499721105997837
2025-01-16 14:01:19,-33.216125,116.068817,Water/Loose (10%),-0.10429198613358981
2025-01-16 14:00:54,-33.216225,116.06871,Water/Loose (10%),0.22711325426596063
2025-01-16 14:00:29,-33.216373,116.068558,Water/Loose (10%),0.313365739730469
2025-01-16 14:00:04,-33.21653,116.068398,Good Run (50%),1.3841250071689197
2025-01-16 13:59:39,-33.21669,116.068245,Good Run (50%),1.265163414468143
2025-01-16 13:59:14,-33.216839,116.068077,Good Run (50%),1.164913165663091
2025-01-16 13:58:49,-33.216991,116.067917,Unknown,0.8504529337417077
2025-01-16 13:58:24,-33.217152,116.067757,Good Run (50%),1.2127568743767185
2025-01-16 13:57:59,-33.2173,116.067596,Good Run (50%),1.1935729050274735
2025-01-16 13:57:34,-33.217476,116.067444,Unknown,0.7981480353279655
2025-01-16 13:57:09,-33.21759,116.067268,Water/Loose (10%),0.0763772531250122
2025-01-16 13:56:44,-33.21772,116.067078,Water/Loose (10%),0.045695770046662476
2025-01-16 13:56:19,-33.217815,116.066902,Unknown,-0.15073697001371356
2025-01-16 13:55:54,-33.217941,116.066681,Unknown,-0.186387843232235
2025-01-16 13:55:29,-33.218075,116.06646,Water/Loose (10%),-0.16641643894853253
2025-01-16 13:55:04,-33.218208,116.066254,Unknown,-0.37989386024034966
2025-01-16 13:54:39,-33.218327,116.066025,Water/Loose (10%),-0.28205036262177563
2025-01-16 13:54:14,-33.21838,116.065804,Water/Loose (10%),-0.4928621516661291
2025-01-16 13:53:49,-33.218445,116.065559,Water/Loose (10%),-0.18022341246606643
2025-01-16 13:53:24,-33.218452,116.065361,Water/Loose (10%),0.10953653739301328
2025-01-16 13:52:59,-33.21843,116.06517,Unknown,0.07643238607896397
2025-01-16 13:52:34,-33.218391,116.065018,Unknown,1.9153975091764124
2025-01-16 13:52:09,-33.218342,116.064903,Unknown,2.073289441162062
2025-01-16 13:51:44,-33.218307,116.064827,Unknown,1.4067889212732556
2025-01-16 13:51:19,-33.218277,116.064758,Sticky (30%),1.1216910063651206
2025-01-16 13:50:29,-33.218201,116.064621,Unknown,1.997020933160332
2025-01-16 13:50:04,-33.218182,116.06456,Unknown,1.8620300193954562
2025-01-16 13:49:39,-33.218128,116.064453,Unknown,2.4302399305328644
2025-01-16 13:49:14,-33.218071,116.064369,Unknown,2.6449431380709236
2025-01-16 13:47:09,-33.218033,116.064323,Unknown,0.8185782579645746
2025-01-16 13:46:19,-33.217945,116.064232,Unknown,1.6111704114994563
2025-01-16 13:45:54,-33.217899,116.064171,Sticky (30%),1.0913794331098798
2025-01-16 13:44:21,-33.217537,116.063683,Good Run (50%),1.4617547240246611
2025-01-16 13:42:41,-33.216988,116.062973,Unknown,2.0439746984736975
2025-01-16 13:41:01,-33.216541,116.062416,Unknown,2.679341123924846
2025-01-15 16:02:42,-33.216095,116.061691,Unknown,2.0532770147831467
2025-01-15 16:01:02,-33.216747,116.06266,Unknown,2.058967508713491
2025-01-15 15:59:22,-33.217453,116.063568,Unknown,2.366532319872361
2025-01-15 15:57:42,-33.21796,116.064232,Unknown,1.4695209979787078
2025-01-15 15:56:02,-33.21822,116.064621,Unknown,1.4656837121580961
2025-01-15 15:54:22,-33.218391,116.065239,Unknown,1.5076393012643785
2025-01-15 15:52:42,-33.218063,116.06572,Unknown,-1.0247994531143316
2025-01-15 15:51:02,-33.217133,116.065689,Unknown,3.1228768326739518
2025-01-15 15:49:22,-33.216267,116.065666,Unknown,2.737399111320319
2025-01-15 15:47:42,-33.215389,116.065689,Dry (70%),3.3181155636486284
2025-01-15 15:46:02,-33.214794,116.066208,Super Dry (90%),3.4994148583654603
2025-01-15 15:44:22,-33.215008,116.066116,Super Dry (90%),3.8969288802997517
2025-01-15 15:42:42,-33.215637,116.065628,Good Run (50%),2.142199714383504
2025-01-15 15:41:02,-33.215134,116.066078,Super Dry (90%),3.89569927405406
2025-01-15 15:39:22,-33.214947,116.066238,Super Dry (90%),3.302703988712785
2025-01-15 15:37:42,-33.214893,116.066376,Dry (70%),2.9684263872015215
